Banco de México,
,
,
,
,
Fecha de consulta: 10/03/2024 09:35:42,
,
,
,
Título,"Valores gubernamentales Resultados de la subasta semanal, Monto asignado Cetes a 28 días"
Periodo disponible,04/01/1996 - 07/03/2024
Periodicidad,Diaria
Cifra,Sin tipo de Cifra
Unidad,Millones de Pesos
Base,
Aviso,
Tipo de información,
Fecha,SF43937
15/06/2023,"8,000"
22/06/2023,"8,000"
29/06/2023,"8,000"
06/07/2023,"8,500"
13/07/2023,"8,500"
20/07/2023,"8,500"
27/07/2023,"8,500"
03/08/2023,"8,500"
10/08/2023,"8,500"
17/08/2023,"8,500"
24/08/2023,"8,500"
31/08/2023,"8,500"
07/09/2023,"8,500"
14/09/2023,"8,500"
21/09/2023,"8,500"
28/09/2023,"8,500"
05/10/2023,"8,500"
12/10/2023,"8,500"
19/10/2023,"8,500"
26/10/2023,"8,500"
01/11/2023,"8,500"
09/11/2023,"8,500"
16/11/2023,"8,500"
23/11/2023,"8,500"
30/11/2023,"8,500"
07/12/2023,"8,500"
14/12/2023,"8,500"
21/12/2023,"6,000"
28/12/2023,"8,500"
04/01/2024,"15,000"
11/01/2024,"15,000"
18/01/2024,"10,000"
25/01/2024,"10,000"
01/02/2024,"10,000"
08/02/2024,"10,000"
15/02/2024,"10,000"
22/02/2024,"10,000"
29/02/2024,"10,000"
07/03/2024,"10,000"
